STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
22067,26760,-275,-4,5,-270
22069,39166,26,134,18,-125
22071,384320,5314,1617,1016,2789
22073,156325,143,670,163,-676
22075,23447,-173,147,8,-324
22077,22406,-37,37,17,-81
22079,132488,-64,380,151,-566
22087,44409,1029,335,30,594
22089,52745,123,270,25,-165
22091,10619,-232,15,0,-246
22093,21638,-62,73,17,-171
22095,43745,126,137,52,-66
22097,83709,237,261,9,-12
22099,53315,369,254,40,77
22101,53162,-371,229,48,-629
22103,245829,3351,600,286,2357
22105,127049,1541,726,114,688
22109,113328,690,502,79,145
22111,22539,103,60,8,11
22113,59616,308,247,72,11
22115,52132,-696,641,221,-1576
22117,46286,-98,-51,4,-46
22119,40333,-368,-33,9,-334
22121,25085,530,139,6,386
22125,15406,-62,22,8,-88
23001,107440,49,281,118,-310
23005,287797,1931,286,711,870
23011,121112,56,-79,27,163
23019,153414,-65,-42,154,-150
23023,35045,11,-50,15,18
23031,200710,1247,54,81,1027
24001,72952,-579,-231,52,-359
24003,560133,3785,2789,1384,-57
24005,826925,3042,1495,3648,-1770
24009,90613,133,272,88,-226
24013,167830,336,152,52,121
24015,102383,384,229,112,99
24017,154747,1847,947,266,698
24019,32578,-34,33,16,-54
24021,243675,2261,1143,804,342
24025,250105,690,665,398,-343
24027,309284,4350,1893,1773,777
24031,1030447,10680,7294,10146,-6531
24033,904430,10231,5978,6703,-1999
24035,48804,232,79,18,141
24037,110382,898,615,186,71
24039,25859,-280,6,71,-354
24041,37643,-306,-113,55,-217
24043,149573,307,262,213,-156
24045,101539,578,209,458,-72
24047,51675,80,-180,85,226
24510,622793,-611,2219,2366,-5317
25001,214914,78,-1245,338,975
25003,128715,-774,-318,200,-544
25005,554194,2027,568,885,869
25007,17356,166,30,15,125
25009,769091,4998,2160,3893,-608
25011,70862,-293,-38,129,-333
25013,468161,747,1150,2690,-2910
25015,160939,-31,-106,726,-636
25017,1570315,12184,6723,11606,-5702
25021,692254,3545,1647,3167,-746
25023,507022,3386,828,1390,1287
25025,767254,7161,4764,8734,-6413
25027,813475,3052,1965,3437,-1823
26005,113847,1362,447,66,883
26007,28988,-93,-86,15,8
26015,59281,150,80,14,102
26017,106179,-757,-97,43,-634
26019,17519,113,-47,1,171
26021,155233,-88,213,336,-529
26023,43545,73,74,37,-2
26025,134878,48,310,201,-399
26027,51608,-74,-36,19,-15
26033,38321,-358,-11,50,-434
26037,77297,191,228,82,-83
26041,36559,-260,-75,4,-157
26043,25957,-100,-41,1,-58
26045,108579,336,146,178,21
26049,412895,-2728,533,255,-3303
26055,90782,758,152,24,536
26057,41665,-369,-21,25,-396
26059,45830,-285,59,3,-339
26061,36495,-234,24,179,-423
26065,284582,1583,1191,1852,-1376
26067,64294,298,228,5,103
26073,70616,192,204,146,-135
26075,159741,-168,164,111,-351
26077,258818,1607,1084,577,29
26079,17394,120,13,7,104
26081,629237,6841,4652,1059,1249
26083,2217,36,6,0,30
26087,88153,-104,6,50,-113
26089,21915,168,-58,18,221
26091,99047,-1,45,105,-139
26093,185596,1204,316,53,854
26099,860112,5115,1078,2188,2192
26103,67676,13,3,20,38
26105,28824,159,-19,14,179
26107,43186,-32,50,58,-118
26109,23714,-121,10,6,-121
26111,83427,-166,137,142,-436
26113,15037,-55,29,14,-85
26115,149824,-355,92,74,-432
26117,62893,50,162,33,-112
26121,172344,98,434,85,-348
26125,1237868,6048,3502,4716,-1606
26139,276292,3415,1649,442,1301
26145,195012,-1648,241,168,-1958
26147,160078,-147,-114,122,-61
26149,60946,105,214,36,-104
26155,68933,17,17,21,-10
26159,75199,-147,199,30,-326
26161,356874,2456,1551,2119,-1090
26163,1764804,-10899,5517,4067,-21314
26165,32886,325,50,4,288
27003,341864,2635,2333,579,-89
27007,45664,82,350,34,-292
27009,39506,256,286,9,-52
27013,65385,550,295,96,156
27015,25292,-1,-22,5,23
27017,35571,188,18,5,185
27019,97338,1694,693,90,896
27021,28559,32,49,5,-28
27025,54025,236,234,15,-14
27027,61286,640,380,86,177
27035,63265,140,88,28,57
27037,412529,3700,2899,799,55
27039,20353,34,120,21,-103
27041,36790,227,-19,18,196
27045,20776,-49,-3,13,-51
27047,30840,-132,3,25,-137
27049,46423,7,58,25,-69
27053,1212064,12004,8549,5800,-1699
27055,18738,-88,7,6,-95
27059,38413,239,138,23,78
27067,42285,-118,207,91,-401
27079,27770,92,75,16,12
27083,25665,-9,119,53,-184
27085,35882,-71,98,14,-192
27095,25884,0,105,8,-115
27099,39323,5,131,73,-206
27103,33093,210,119,11,95
27105,21590,-129,160,185,-499
27109,150287,1055,1150,610,-648
27111,57635,44,-33,60,55
27119,31704,1,92,34,-104
27123,532655,4988,3938,3302,-1994
27131,65151,297,280,116,-126
27137,200949,186,53,199,68
27139,139672,2069,1419,294,357
27141,91126,929,674,61,147
27143,14918,-140,53,4,-189
27145,152912,814,913,239,-243
27147,36573,144,151,32,-58
27157,21362,-100,66,19,-193
27163,249283,2600,1357,466,781
27167,6495,-55,-17,0,-39
27169,51097,-165,45,69,-293
27171,129918,1620,1051,70,511
28001,31737,-306,-70,24,-253
28003,37380,16,15,24,-2
28005,12629,-266,-25,0,-233
28009,8296,-210,-13,-2,-203
28011,33768,-251,133,-1,-385
28015,10254,-99,-27,-1,-70
28021,9080,-97,6,8,-112
28023,16299,-90,5,2,-106
28027,24807,-358,105,16,-482
28029,28797,2,40,9,-27
28033,170913,2549,849,85,1585
28035,76330,-415,321,115,-860
28043,21666,114,2,-1,99
28045,45949,362,48,44,301
28047,199058,2461,1065,405,926
28049,243729,-1887,1175,239,-3371
28057,23527,66,59,-1,5
28059,141137,863,215,201,516
28061,16601,84,88,0,-10
28067,68290,-596,184,12,-762
28069,10163,-113,-23,1,-86
28071,52930,937,211,140,522
28073,60099,1116,513,-2,611
28075,79739,-593,217,97,-884
28081,85246,-194,131,34,-397
28083,31422,-170,98,46,-304
28085,34775,25,74,7,-36
28087,59730,-171,265,79,-480
28089,101688,1447,187,175,889
28093,36234,-286,17,11,-302
28105,49414,130,212,153,-262
28109,55224,267,17,2,214
28111,12227,109,34,0,71
28113,40058,43,47,10,0
28115,30950,180,226,10,-52
28121,148070,935,782,80,96
28127,27463,-14,38,5,-49
28133,27496,-507,33,-3,-551
28137,28204,-145,38,6,-171
28143,10598,86,124,17,-50
28149,47983,-303,123,29,-431
28151,48958,-680,101,-6,-758
